trip_id,mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7
500501,500,501,0.000000,1.518489,1.701367,1.863230,1.226544,0.024361
500502,500,502,0.395940,1.680290,0.143991,1.120521,0.257453,0.000000
500503,500,503,2.601696,8.207114,8.007986,3.624526,0.431127,0.000000
500505,500,505,8.477784,16.624450,32.777393,53.284817,22.465769,8.465645
500506,500,506,0.000051,0.056992,0.172225,0.195404,0.507406,0.001219
500507,500,507,0.281896,8.197110,6.235410,4.565793,0.239635,0.000000
500508,500,508,0.603866,0.345648,0.753589,1.237694,0.220758,0.162708
500509,500,509,0.965602,0.897560,2.910734,2.036757,0.334195,0.000000
500510,500,510,0.178322,0.437486,2.694513,2.320619,0.341240,0.000000
500511,500,511,1.094388,7.825321,11.447345,4.359339,0.582151,0.000000
500512,500,512,0.000000,1.131871,1.662667,2.971538,0.322889,0.136104
500513,500,513,9.619212,32.052673,14.197386,5.811031,2.196431,0.368909
500514,500,514,0.705267,1.266841,3.911751,3.505228,1.973640,0.340537
500516,500,516,2.184657,53.528140,32.611423,13.280419,6.326316,1.283041
500517,500,517,0.935025,5.090632,6.261043,5.257759,1.126748,0.540725
500518,500,518,0.000000,0.000000,0.451905,2.171565,0.000000,0.000000
500519,500,519,0.124076,1.224751,0.921837,0.172866,0.000000,0.000000
500520,500,520,0.287000,1.447763,1.739980,1.521067,1.001890,0.723478
500521,500,521,6.727881,19.066630,10.494048,6.962430,0.922707,0.298160
500522,500,522,2.454237,0.315134,2.225507,5.351777,0.446229,0.014376
500524,500,524,2.981715,19.214830,19.288400,8.420558,0.642938,0.624315
500526,500,526,0.910932,11.738821,19.761557,17.878984,3.964257,0.607898
500527,500,527,0.180401,0.349822,2.772681,4.450581,0.747276,0.549127
500528,500,528,0.589960,0.754374,2.043872,0.394480,0.259021,0.107115
500530,500,530,1.073301,0.789129,0.661834,0.804451,0.217958,0.228330
500532,500,532,0.045107,0.122499,0.617926,1.225730,0.112548,0.000000
500534,500,534,0.954943,1.398566,2.985102,4.203092,1.128080,0.900500
500535,500,535,0.314726,3.442220,6.334986,2.276130,0.819065,0.167048
500536,500,536,1.481540,9.457324,3.779667,2.358832,0.509821,0.080182
500537,500,537,0.000000,0.000000,0.102408,1.037825,0.129750,0.000000
500540,500,540,0.000000,1.256475,0.384823,0.418967,0.309166,0.000000
500541,500,541,0.638042,11.104030,3.228090,1.831235,0.113227,0.000000
500542,500,542,3.588033,8.693865,14.140261,7.723175,1.147423,0.515857
500543,500,543,0.143013,0.030376,0.004533,0.000260,0.000097,0.000033
500545,500,545,1.478409,13.927001,19.999430,13.222534,5.728844,1.470554
500547,500,547,0.469808,1.688848,1.164963,1.546847,0.336934,0.029684
500548,500,548,0.000000,0.669325,1.226062,1.380544,0.943813,0.669839
500549,500,549,0.106998,0.207900,0.672699,2.300054,0.573915,0.000000
500550,500,550,0.231373,0.589328,3.243408,2.569800,0.627718,0.000000
500551,500,551,0.000000,1.243523,0.581354,1.545772,0.517804,0.000000
500552,500,552,0.230805,0.000000,1.156816,1.283841,0.358236,0.000000
500553,500,553,1.015328,29.154451,39.333176,19.458158,3.771368,0.290470
500554,500,554,0.165572,0.000139,0.796157,0.945589,0.269068,0.002078
500555,500,555,0.086445,0.000000,0.524765,0.835747,0.138040,0.000000
500556,500,556,0.000000,0.636209,1.926817,1.368736,0.141260,0.137835
500557,500,557,0.000000,0.000000,2.312024,0.215590,0.000000,0.000000
500560,500,560,8.115440,36.023754,60.355957,46.491745,12.335923,4.169603
500561,500,561,0.697750,10.289826,17.280327,11.589273,3.671296,2.121427
500562,500,562,9.034772,93.071640,55.310360,26.695276,13.072929,7.694845
500563,500,563,0.118308,0.531371,0.219877,0.156552,0.267773,0.025805
500564,500,564,0.864920,5.899119,8.761825,13.365628,2.687399,0.430060
500565,500,565,0.787693,0.459427,1.037949,0.555951,0.359392,0.000000
500566,500,566,0.999847,1.105952,2.215943,5.931463,0.662265,0.117300
500567,500,567,2.002990,7.260596,5.877605,2.053979,2.495432,1.394711
500568,500,568,0.000000,0.000000,0.480866,0.722225,0.123830,0.117645
500569,500,569,0.206616,4.928392,8.715432,4.684106,0.356513,0.108120
500570,500,570,2.817859,9.796560,8.474110,9.618314,1.951064,0.996858
500571,500,571,0.000000,0.000000,1.865658,0.808706,0.950490,0.000000
500572,500,572,0.496156,0.610714,2.141917,0.784118,0.000000,0.000000
500574,500,574,2.177433,7.807299,14.508083,7.714470,2.408389,0.367412
500575,500,575,0.000000,2.099412,0.724531,0.652890,0.140722,0.000000
500577,500,577,0.546150,8.529701,1.697214,1.142297,0.828533,1.391821
500578,500,578,0.000000,0.459820,0.822779,0.743322,0.164041,0.872360
500579,500,579,0.000000,0.657474,0.509725,0.915912,0.788180,0.129756
500580,500,580,5.650915,2.350687,6.518283,7.258058,1.653677,1.466257
500581,500,581,1.347180,20.233768,16.097483,8.102821,2.915658,0.556550
500582,500,582,0.000000,0.112309,3.717421,2.568891,0.193206,0.252888
500583,500,583,1.632629,48.451633,30.322409,10.271098,2.851181,1.248761
500584,500,584,0.000000,0.863405,1.473411,0.488896,0.114912,0.000000
500585,500,585,0.000000,2.435256,2.007311,0.341172,0.264227,0.169846
500586,500,586,0.555665,5.877426,4.200759,1.722292,0.458148,0.156672
500588,500,588,0.401961,3.890037,1.710200,0.364120,0.000311,0.000093
500589,500,589,0.000000,0.807851,0.223162,1.583392,0.771441,0.000000
500590,500,590,9.582640,62.415314,48.632805,14.828358,1.948593,0.265092
500591,500,591,0.107349,0.798112,0.658250,0.307039,0.135697,0.000000
500593,500,593,20.287370,249.811230,195.028550,94.933525,42.193825,8.301219
500594,500,594,0.067739,0.294972,0.285251,0.692411,0.111104,0.000000
500598,500,598,0.282521,4.560670,8.116696,6.275177,1.065943,0.167331
500599,500,599,1.029506,6.461814,9.350374,9.952986,0.559159,0.000000
500601,500,601,0.000000,0.377011,0.623892,0.960392,0.000000,0.000000
500602,500,602,0.233748,0.023238,0.497294,1.846985,0.000000,0.126882
500603,500,603,0.345398,2.069079,2.869507,3.056915,0.673191,0.696898
500604,500,604,0.372066,0.544809,0.409208,0.898324,0.000000,0.156618
500605,500,605,1.002517,14.565949,12.608533,6.797725,1.447665,0.000000
500606,500,606,1.963385,2.201599,3.418827,6.076294,0.732463,0.727912
500607,500,607,3.549270,62.530212,31.045433,8.691263,1.710859,0.117882
500609,500,609,0.267959,6.874018,4.837450,2.086328,1.252431,0.679636
500610,500,610,0.039117,0.000000,3.058631,0.000000,0.000000,0.000000
500611,500,611,4.594107,39.789333,27.135918,35.308456,13.943455,5.305187
500612,500,612,5.827611,38.886250,37.291363,66.051290,18.549498,8.028348
500613,500,613,4.445369,11.472068,25.688906,33.958560,14.296677,7.537073
500614,500,614,4.172498,35.347313,14.102834,4.295570,1.236710,0.096800
500615,500,615,1.349131,1.704150,3.053658,2.250966,1.590943,0.503328
500616,500,616,0.047282,3.945826,2.586449,1.062599,0.723142,0.856920
500619,500,619,0.000000,0.929400,1.571848,0.864347,0.209712,0.000000
500621,500,621,0.000000,2.898653,4.585105,1.622094,0.359259,0.331556
500622,500,622,0.000000,0.000000,0.333207,0.790939,0.000000,0.119040
500623,500,623,0.476817,0.000000,0.000000,1.718257,0.192169,0.000000
500625,500,625,15.700263,46.017130,61.934330,27.133238,7.108347,2.366242
500626,500,626,5.800665,45.558240,48.241760,10.641047,5.415692,1.299877
500627,500,627,0.602594,8.747373,3.354958,3.459428,0.636968,0.355812
500628,500,628,0.119984,2.677293,1.797554,1.698866,0.108656,0.032884
500630,500,630,0.434622,10.089337,3.421613,1.716997,0.880670,0.546546
500631,500,631,8.788366,28.193850,46.191845,27.887856,8.610884,1.296319
500632,500,632,0.171968,0.331067,1.554473,3.453304,0.660394,0.713085
500633,500,633,0.000000,0.000000,1.239378,1.348404,0.000000,0.470997
500634,500,634,7.777472,24.092812,16.982172,5.880253,1.442815,0.507556
500635,500,635,5.298310,33.875920,25.710018,15.880569,4.627489,3.085757
500636,500,636,0.000000,0.000000,0.950855,1.108216,0.000000,0.000000
500637,500,637,0.455376,2.857264,0.721461,0.303436,0.211464,0.000000
500638,500,638,0.331066,1.694179,3.099505,3.353662,0.621606,0.468200
500639,500,639,3.719112,15.219678,4.885788,0.896640,0.338227,0.281790
500640,500,640,0.000000,1.040062,0.858993,0.754865,0.355116,0.000000
500641,500,641,0.069715,1.429658,1.922469,1.359481,0.531536,0.000000
500642,500,642,0.681946,2.565458,6.541072,1.837562,0.278098,0.000000
500643,500,643,0.449786,1.549334,0.554326,0.475877,0.128432,0.000014
